City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Louisville,,38.2542,-85.7594,64.96,77,1,4.61,clear sky
178,Port Lincoln,,-34.7333,135.8667,65.3,51,100,12.01,overcast clouds
179,Chivay,,-15.6383,-71.6011,50.36,43,36,3.89,scattered clouds
180,Kalmar,,56.6616,16.3616,57.13,88,90,9.22,overcast clouds
181,Hilo,,19.7297,-155.09,80.33,86,90,12.66,moderate rain
182,Longyearbyen,,78.2186,15.6401,35.44,87,75,21.85,light rain
183,Kanniyakumari,,8.0833,77.5667,80.29,80,100,21.81,light rain
184,Awbari,,26.5921,12.7805,70.79,23,0,6.2,clear sky
185,Lasa,,46.6166,10.7002,59.88,95,85,3.94,overcast clouds
186,Bilma,,18.6853,12.9164,79.47,20,4,8.79,clear sky
187,La Asuncion,,11.0333,-63.8628,82.13,83,50,6.91,scattered clouds
188,Tasiilaq,,65.6145,-37.6368,32.16,63,16,6.62,few clouds
189,Gorontalo,,0.5412,123.0595,87.85,61,99,7.7,overcast clouds
190,Amasya,,40.6667,35.8333,47.88,78,0,2.37,clear sky
191,Mazatlan,,23.2167,-106.4167,84.9,81,3,1.99,clear sky
192,Camocim,,-2.9022,-40.8411,78.84,79,55,17.45,broken clouds
193,Hot Springs,,34.5037,-93.0552,72.32,65,8,2.75,clear sky
194,Houston,,29.7633,-95.3633,78.06,75,40,3.0,scattered clouds
195,Pangnirtung,,66.1451,-65.7125,31.66,78,19,0.74,few clouds
196,Mineiros,,-17.5694,-52.5511,71.85,57,97,2.19,overcast clouds
197,Pahrump,,36.2083,-115.9839,86.05,26,1,5.3,clear sky
198,Pacific Grove,,36.6177,-121.9166,64.81,84,90,3.0,overcast clouds
199,Uribia,,11.7139,-72.266,84.87,68,98,12.77,overcast clouds
200,Swidnik,,51.219,22.6962,44.49,100,0,3.44,clear sky
201,Road Town,,18.4167,-64.6167,82.2,76,9,10.71,clear sky
202,Valente,,-11.4122,-39.4619,67.33,93,15,6.38,few clouds
203,Ilulissat,,69.2167,-51.1,21.22,42,1,4.61,clear sky
204,Mar Del Plata,,-38.0023,-57.5575,53.1,66,90,3.0,overcast clouds
205,Xifeng,,42.7372,124.7222,63.12,95,100,9.01,light rain
206,Cherskiy,,68.75,161.3,28.92,82,100,17.36,overcast clouds
207,Thompson,,55.7435,-97.8558,46.56,93,20,0.0,few clouds
208,Bambous Virieux,,-20.3428,57.7575,71.22,94,75,18.41,broken clouds
209,Santiago Del Estero,,-27.7951,-64.2615,72.81,29,0,7.43,clear sky
210,Miyako,,39.6367,141.9525,67.98,64,69,10.13,broken clouds
211,Nouadhibou,,20.931,-17.0347,71.58,83,10,16.11,clear sky
212,Chimbote,,-9.0853,-78.5783,62.62,88,68,6.58,broken clouds
213,Antsohihy,,-14.8796,47.9875,71.35,63,1,7.07,clear sky
214,Brookhaven,,31.5791,-90.4407,65.25,77,64,2.62,broken clouds
215,Makasar,,-5.14,119.4221,87.85,48,20,2.3,few clouds
216,Gull Lake,,50.1001,-108.4847,64.76,26,15,9.15,few clouds
217,Miri,,4.4148,114.0089,84.34,79,40,4.61,scattered clouds
218,Fairbanks,,64.8378,-147.7164,35.6,76,75,4.61,broken clouds
219,Sao Joao Da Barra,,-21.6403,-41.0511,72.37,84,100,19.57,overcast clouds
220,Tuatapere,,-46.1333,167.6833,53.82,47,5,4.45,clear sky
221,Binzhou,,37.3667,118.0167,70.27,82,100,10.56,light rain
222,Campana,,-34.1687,-58.9591,66.11,92,40,6.55,scattered clouds
223,Ciudad Bolivar,,8.1222,-63.5497,81.91,69,52,3.2,broken clouds
224,Mahebourg,,-20.4081,57.7,71.26,94,75,18.41,broken clouds
225,Airai,,-8.9266,125.4092,80.33,31,55,3.53,broken clouds
226,Aklavik,,68.2191,-135.0107,32.83,93,96,4.34,overcast clouds
227,Flin Flon,,54.7682,-101.865,51.46,71,100,5.64,overcast clouds
228,Roma,,43.2128,-75.4557,58.86,84,90,0.0,overcast clouds
229,Tukrah,,32.5341,20.5791,72.45,64,0,7.49,clear sky
230,Ende,,-8.8432,121.6623,85.89,61,50,4.74,scattered clouds
231,Kamina,,-8.7386,24.9906,64.2,73,39,3.11,scattered clouds
232,Olafsvik,,64.8945,-23.7142,38.43,73,100,28.88,overcast clouds
233,Pullman,,46.7313,-117.1796,68.97,28,1,3.44,clear sky
234,Tiksi,,71.6872,128.8694,34.39,90,100,12.08,overcast clouds
235,Cidreira,,-30.1811,-50.2056,65.48,95,1,12.28,clear sky
236,Krasnyy Kholm,,58.0607,37.1203,42.46,96,93,9.37,overcast clouds
237,Erdenet,,49.0333,104.0833,45.9,40,36,4.85,scattered clouds
238,Novyy Urengoy,,66.0833,76.6333,35.13,68,17,4.72,few clouds
239,Elko,,41.0002,-115.5012,69.64,18,0,4.0,clear sky
240,Santa Maria,,-29.6842,-53.8069,56.5,100,0,2.3,clear sky
241,Touros,,-5.1989,-35.4608,76.1,84,59,13.91,broken clouds
242,Rio Gallegos,,-51.6226,-69.2181,43.02,59,93,9.08,overcast clouds
243,Nyimba,,-14.5566,30.8149,71.24,43,7,5.3,clear sky
244,Tual,,-5.6667,132.75,80.85,82,84,12.39,broken clouds
245,Cedar City,,37.6775,-113.0619,72.57,31,1,11.5,clear sky
246,Horodok,,49.1637,26.5839,51.22,84,81,5.14,broken clouds
247,Victoria,,22.2855,114.1577,88.97,72,28,1.01,scattered clouds
248,Dunedin,,-45.8742,170.5036,48.52,60,49,13.87,scattered clouds
249,Marawi,,7.9986,124.2928,75.65,58,94,3.53,overcast clouds
250,Paidha,,2.4167,30.9855,60.84,90,99,3.87,overcast clouds
251,Lagoa,,39.05,-27.9833,66.56,67,62,20.15,broken clouds
252,Talcahuano,,-36.7167,-73.1167,47.88,76,0,12.66,clear sky
253,Maltahohe,,-24.8333,16.9833,64.51,25,4,3.33,clear sky
254,Ponta Do Sol,,32.6667,-17.1,70.72,66,17,3.31,few clouds
255,Faanui,,-16.4833,-151.75,79.66,73,2,11.83,clear sky
256,Plettenberg Bay,,-34.0527,23.3716,58.1,87,9,10.47,clear sky
257,San Francisco,,37.7749,-122.4194,64.27,79,20,3.0,smoke
258,Phu Ly,,20.5411,105.9139,82.81,77,99,3.53,overcast clouds
259,Lorengau,,-2.0226,147.2712,81.86,79,95,6.24,overcast clouds
260,Sao Felix Do Xingu,,-6.6447,-51.995,76.66,65,61,0.38,broken clouds
261,Alice Springs,,-23.7,133.8833,90.95,8,64,17.27,broken clouds
262,Mitsamiouli,,-11.3847,43.2844,75.38,71,6,8.3,clear sky
263,Ringkobing,,56.0901,8.244,60.03,95,100,9.06,overcast clouds
264,Saskylakh,,71.9167,114.0833,35.24,98,100,13.4,overcast clouds
265,Lebu,,-37.6167,-73.65,47.62,77,3,18.68,clear sky
266,Den Helder,,52.9599,4.7593,62.58,94,20,6.91,mist
267,Valparaiso,,-33.0393,-71.6273,53.24,87,0,3.44,clear sky
268,Tezu,,27.9167,96.1667,89.06,51,77,1.97,broken clouds
269,Puerto Madero,,14.7208,-92.4215,77.2,79,75,4.61,broken clouds
270,Caravelas,,-17.7125,-39.2481,71.73,82,100,6.87,overcast clouds
271,Ati,,13.2154,18.3353,81.34,59,100,7.94,overcast clouds
272,Corrales,,35.2378,-106.6067,72.64,50,75,1.99,broken clouds
273,Acarau,,-2.8856,-40.12,78.98,84,12,18.45,few clouds
274,Talnakh,,69.4865,88.3972,36.66,46,100,6.51,overcast clouds
275,Sangar,,63.9242,127.4739,43.59,71,73,2.37,broken clouds
276,Horsham,,51.064,-0.3272,64.51,82,75,10.36,broken clouds
277,Mogadishu,,2.0371,45.3438,77.94,80,50,18.79,scattered clouds
278,Mlonggo,,-6.5333,110.7,85.89,56,73,2.66,broken clouds
279,Pevek,,69.7008,170.3133,31.89,89,100,23.04,light snow
280,Jaicos,,-7.3592,-41.1378,81.7,45,42,11.77,scattered clouds
281,Ambon,,-3.6954,128.1814,84.34,89,40,4.61,scattered clouds
282,Sanchazi,,42.0817,126.6003,60.04,96,100,2.53,light rain
283,Gualeguaychu,,-33.0094,-58.5172,62.89,81,23,8.14,few clouds
284,Calabozo,,8.9242,-67.4293,76.84,85,81,3.0,broken clouds
285,Krasnoselkup,,65.7,82.4667,37.74,79,41,9.13,scattered clouds
286,Charlestown,,-32.95,151.6667,67.93,52,31,4.0,scattered clouds
287,Kropotkin,,45.4375,40.5756,56.25,87,98,6.62,overcast clouds
288,Hirara,,24.8,125.2833,88.07,74,20,10.36,few clouds
289,Nanakuli,,21.3906,-158.1547,87.75,58,20,14.97,few clouds
290,Inegol,,40.0781,29.5133,47.48,62,0,1.25,clear sky
291,Sao Francisco De Assis,,-29.5503,-55.1311,60.21,85,0,6.22,light rain
292,Tarabha,,20.7333,83.65,81.32,80,88,12.59,overcast clouds
293,Taoudenni,,22.6783,-3.9836,89.82,12,7,8.7,clear sky
294,Sanghar,,26.0466,68.9481,84.27,55,7,0.92,clear sky
295,Ankazobe,,-18.3167,47.1167,50.41,77,0,5.7,clear sky
296,Gafanha Da Encarnacao,,40.6181,-8.733,64.27,90,99,8.19,overcast clouds
297,Long Beach,,33.767,-118.1892,70.74,82,90,5.01,overcast clouds
298,Ngara,,-2.5122,30.6558,55.98,91,99,1.23,overcast clouds
299,Limoeiro Do Ajuru,,-1.8953,-49.3806,78.94,81,13,8.79,few clouds
300,Gravdal,,68.1214,13.5031,51.57,90,100,10.83,overcast clouds
301,Monterey,,36.2505,-121.2516,58.84,1,0,8.12,clear sky
302,Torbay,,47.6666,-52.7314,54.75,94,75,12.66,broken clouds
303,Alizai,,33.5383,70.3462,78.85,55,2,1.59,clear sky
304,Saint-Augustin,,51.226,-58.6502,55.26,99,100,8.16,overcast clouds
305,Pontes E Lacerda,,-15.2261,-59.3353,75.85,70,3,3.89,clear sky
306,Svencionys,,55.15,26.1667,39.7,94,0,4.56,clear sky
307,Port-Cartier,,50.0334,-66.8654,55.62,98,100,7.4,overcast clouds
308,Camacha,,33.0833,-16.3333,66.96,82,0,2.3,clear sky
309,Tambun,,-6.2641,107.0712,92.41,51,63,4.27,broken clouds
310,Mayor Pablo Lagerenza,,-19.9309,-60.7718,82.17,40,46,5.7,scattered clouds
311,Boende,,-0.2167,20.8667,69.75,97,100,1.99,overcast clouds
312,Sergeyevka,,53.88,67.4158,38.77,55,100,25.9,overcast clouds
313,Riyadh,,24.6877,46.7219,77.14,31,98,8.52,overcast clouds
314,Manta,,-0.95,-80.7333,73.18,83,75,12.66,broken clouds
315,Port Augusta,,-32.5,137.7667,80.71,15,69,16.15,broken clouds
316,Hualmay,,-11.0964,-77.6139,61.86,86,26,8.05,scattered clouds
317,Isangel,,-19.55,169.2667,80.71,74,75,9.22,broken clouds
318,Dingle,,10.9995,122.6711,86.36,72,98,7.52,overcast clouds
319,Naze,,28.3667,129.4833,85.12,75,32,16.89,scattered clouds
320,Belmonte,,-15.8631,-38.8828,73.9,89,77,6.78,broken clouds
321,Muisne,,0.6,-80.0333,74.66,85,100,9.06,overcast clouds
322,Comodoro Rivadavia,,-45.8667,-67.5,46.26,39,0,6.91,clear sky
323,Nha Trang,,12.25,109.1833,87.8,66,48,4.5,scattered clouds
324,San Vicente,,-26.6167,-54.1333,60.55,53,0,3.78,clear sky
325,Kidal,,18.4411,1.4078,84.18,16,1,10.31,clear sky
326,Padang,,-0.9492,100.3543,78.85,84,96,5.14,light rain
327,Muros,,42.7762,-9.0603,68.23,90,100,13.47,light rain
328,Beringovskiy,,63.05,179.3167,36.73,87,92,3.42,overcast clouds
329,Vao,,-22.6667,167.4833,68.27,68,35,10.87,scattered clouds
330,Hasaki,,35.7333,140.8333,77.29,61,46,17.56,scattered clouds
331,Itaituba,,-4.2761,-55.9836,73.65,91,89,3.71,overcast clouds
332,Huarmey,,-10.0681,-78.1522,62.94,87,43,6.53,scattered clouds
333,Murgab,,37.4966,61.9714,62.47,67,75,16.11,broken clouds
334,Komsomolskiy,,40.4272,71.7189,68.72,28,0,9.22,clear sky
335,Cayenne,,4.9333,-52.3333,83.08,79,40,5.99,scattered clouds
336,Vancouver,,49.2497,-123.1193,56.86,97,90,1.99,overcast clouds
337,Shache,,38.4167,77.2406,70.92,19,0,5.61,clear sky
338,Barmer,,25.75,71.3833,86.88,62,15,4.94,few clouds
339,Harboore,,56.6175,8.1807,59.56,94,99,13.31,overcast clouds
340,Cangucu,,-31.395,-52.6756,56.44,100,24,3.76,few clouds
341,Shihezi,,44.3,86.0333,61.93,18,5,2.89,clear sky
342,Izhmorskiy,,56.194,86.6414,35.19,89,95,5.1,overcast clouds
343,Thessalon,,46.2501,-83.5666,61.29,91,98,8.43,overcast clouds
344,Wanxian,,30.8039,108.3897,82.96,76,99,4.72,overcast clouds
345,Aguimes,,27.9054,-15.4461,70.43,83,20,19.57,few clouds
346,Klaksvik,,62.2266,-6.589,49.12,86,91,14.07,overcast clouds
347,Dzidzantun,,21.25,-89.05,75.74,91,34,4.99,scattered clouds
348,Ponta Delgada,,37.7333,-25.6667,70.5,88,75,9.22,broken clouds
349,Camabatela,,-8.1881,15.375,61.25,97,99,4.14,overcast clouds
350,Monrovia,,6.3005,-10.7969,75.15,93,100,7.11,moderate rain
351,Dumas,,35.8656,-101.9732,76.66,35,1,9.22,clear sky
352,San Cristobal,,7.7669,-72.225,78.98,91,29,2.37,scattered clouds
353,Hofn,,64.2539,-15.2082,42.51,61,92,9.86,overcast clouds
354,Hue,,16.4667,107.6,86.11,66,20,2.3,few clouds
355,Santa Lucia,,27.9117,-15.5407,65.52,85,20,19.57,few clouds
356,Novoagansk,,61.9449,76.6625,36.45,78,6,8.9,clear sky
357,Storsteinnes,,69.2408,19.2344,55.4,85,100,6.17,overcast clouds
358,Lasem,,-6.6922,111.4527,87.19,55,90,9.33,overcast clouds
359,Balkhash,,46.844,74.9804,47.01,34,40,20.13,scattered clouds
360,Ahipara,,-35.1667,173.1667,54.46,70,100,10.89,overcast clouds
361,Bayir,,37.2687,28.2167,48.72,45,87,3.71,overcast clouds
