City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1893,San Matias,BO,80.82,scattered clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
1896,Araguaina,BR,82.81,few clouds,-7.1911,-48.2072,Hotel São Vicente
1898,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
1903,Merauke,ID,81.55,broken clouds,-8.4667,140.3333,
1904,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
1905,Sao Filipe,CV,78.4,broken clouds,14.8961,-24.4956,Hotel Xaguate
1908,Coahuayana,MX,78.96,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
1909,Puerto Ayacucho,VE,75.07,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
1910,Miles City,US,79.77,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
1917,Masuda,JP,78.53,few clouds,34.6667,131.85,Masuda Green Hotel Morris
1929,Qingyuan,CN,87.78,clear sky,23.7,113.0333,Guojin Commercial Hotel
1930,San Jose De Las Lajas,CU,76.23,clear sky,22.9614,-82.1511,Hostal Spirit
1932,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
1934,Keffi,NG,77.38,broken clouds,8.8486,7.8736,Imam Family
1935,Gonda,IN,84.83,few clouds,27.1333,81.9333,Capital O 41566 Golden Fairy Resort
1936,Kinarut,MY,84.22,few clouds,5.8231,116.0466,Langkah Syabas Beach Resort
1937,Bubaque,GW,83.01,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
1940,Kainantu,PG,75.09,overcast clouds,-6.2887,145.8655,Sylvester buku
1943,Ahuimanu,US,87.51,light rain,21.4447,-157.8378,Paradise Bay Resort
1944,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
1947,Vanimo,PG,85.57,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
1954,Teknaf,BD,80.85,overcast clouds,20.8624,92.3058,Forestry Guesthouse
1959,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
1961,Petatlan,MX,78.98,overcast clouds,17.5167,-101.2667,Hotel California Petatlán
1965,Kushima,JP,85.51,broken clouds,31.4583,131.2333,Hanaoka
1973,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
1980,Abu Dhabi,AE,87.91,overcast clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
1984,Karachi,PK,84.02,smoke,24.9056,67.0822,Sadaat
1985,Santa Maria Da Vitoria,BR,78.44,clear sky,-13.3947,-44.1886,Pousada Rio Current
1987,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
1992,Aloleng,PH,85.44,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
1993,Nangka,PH,85.53,broken clouds,9.4006,122.8169,HOTEL MAEFINN
1995,Damietta,EG,76.89,clear sky,31.4165,31.8133,SULIMAN INN
1996,Timbiqui,CO,75.56,light rain,2.7717,-77.6654,hotel diana
1997,Gigmoto,PH,85.46,overcast clouds,13.7796,124.39,Cj's Travellers Inn
2003,Santa Cruz,BO,80.06,smoke,-17.8,-63.1667,Aviador Hotel Boutique
2004,Monte Alegre,BR,77.47,scattered clouds,-2.0078,-54.0692,Hotel Shekinah
2006,Aklera,IN,81.25,few clouds,24.4167,76.5667,hotel sangam palace
2010,Sorong,ID,83.12,few clouds,-0.8833,131.25,waigo splash hotel
2013,Shingu,JP,77.99,overcast clouds,33.7333,135.9833,Shingu UI Hotel
2014,Panzhihua,CN,78.46,clear sky,26.5851,101.7128,Electric Power Hotel
2016,Marsh Harbour,BS,79.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
2024,Buluang,PH,85.3,overcast clouds,13.3068,123.3425,Enon Beach Resort
2025,Sitrah,BH,86.0,dust,26.1547,50.6206,Al Bander Resort - منتجع البندر
2030,Ormara,PK,82.15,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
2032,Cabanas,CU,77.56,clear sky,22.9758,-82.9219,Villa Luis Montesino y Anabel
2033,Port Blair,IN,81.72,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
2034,Mul,IN,77.94,overcast clouds,20.0667,79.6667,Taj Mahal
2035,Basco,PH,84.49,few clouds,20.4487,121.9702,Nathaniel's Lodge
2037,Big Spring,US,80.08,clear sky,32.2504,-101.4787,Hampton Inn & Suites Big Spring
2049,Akyab,MM,79.57,moderate rain,20.15,92.9,Hotel Memory
2051,Noumea,NC,76.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
2055,Nokha,IN,83.46,clear sky,27.6,73.4167,gu khana
2056,Shibukawa,JP,77.13,overcast clouds,36.4833,139.0,Hotel Route-Inn Shibukawa
2057,Shenjiamen,CN,79.0,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
2058,Orocue,CO,78.67,scattered clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
2060,Dori,BF,84.56,clear sky,14.0354,-0.0345,Hôtel Liptako
2070,Santo Tomas,PH,86.25,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
2072,Manzanillo,CU,77.38,scattered clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
2074,Puerto Leguizamo,CO,75.9,scattered clouds,-0.1934,-74.7819,la casona de juancho
2075,Puerto Cabello,VE,83.23,scattered clouds,10.4731,-68.0125,Hotel Cumboto
2081,Vila Do Maio,CV,77.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
2082,Rucheng,CN,89.01,few clouds,32.3883,120.5553,Vienna Hotel Rugao Zhengxiang Square
2084,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
2086,Luwuk,ID,85.93,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
2087,Fukue,JP,79.16,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
2089,Nizwa,OM,83.23,broken clouds,22.9333,57.5333,Orient Apartments
2091,Penalva,BR,76.42,few clouds,-3.2942,-45.1736,Hotel São José
2092,Mozarlandia,BR,80.85,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
2094,Bambanglipuro,ID,84.16,broken clouds,-7.95,110.2833,Puri Brata
2095,Pecos,US,83.23,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
2097,Salinopolis,BR,79.63,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
2100,Kampot,KH,84.25,broken clouds,10.6167,104.1833,Two Moons Hotel
2102,Belmopan,BZ,81.3,overcast clouds,17.25,-88.7667,Villa San Juan
2103,Davila,PH,89.58,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
2105,Honiara,SB,83.21,light rain,-9.4333,159.95,Heritage Park Hotel
2109,Trinidad,BO,84.81,few clouds,-14.8333,-64.9,Hotel Piesta
2123,Mindelo,CV,78.35,broken clouds,16.8901,-24.9804,Hotel Gaudi
2124,Gibara,CU,79.92,clear sky,21.1097,-76.1317,Sol y Mar
2127,Dhidhdhoo,MV,79.83,light rain,6.8833,73.1,Dhidhoo beach
2128,Haimen,CN,85.89,clear sky,23.1935,116.6142,Jinghao Business Hotel
